scenario,step,time,frac_mean,frac_sd,itm_avg
B2_cv,1,0.02,0.26399999999999996,0.08049844718999244,963.6
B2_cv,2,0.04,0.24,0.0547722557505166,977.2
B2_cv,3,0.06,0.27999999999999997,0.04472135954999578,972.8
B2_cv,4,0.08,0.244,0.08173126696681018,949.6
B2_cv,5,0.1,0.27999999999999997,0.04472135954999577,948.0
B2_cv,6,0.12,0.3,0.0,939.6
B2_cv,7,0.14,0.26,0.0547722557505166,950.4
B2_cv,8,0.16,0.3,0.0,938.4
B2_cv,9,0.18,0.27999999999999997,0.04472135954999577,932.8
B2_cv,10,0.2,0.3,0.0,936.0
B2_cv,11,0.22,0.27999999999999997,0.04472135954999578,928.6
B2_cv,12,0.24,0.3,0.0,929.2
B2_cv,13,0.26,0.3,0.0,918.2
B2_cv,14,0.28,0.27999999999999997,0.04472135954999577,918.0
B2_cv,15,0.3,0.244,0.0817312669668102,914.4
B2_cv,16,0.32,0.3,0.0,907.0
B2_cv,17,0.34,0.3,0.0,903.8
B2_cv,18,0.36,0.3,0.0,897.2
B2_cv,19,0.38,0.3,0.0,894.4
B2_cv,20,0.4,0.3,0.0,903.8
B2_cv,21,0.42,0.27999999999999997,0.04472135954999578,898.2
B2_cv,22,0.44,0.3,0.0,899.6
B2_cv,23,0.46,0.3,0.0,893.0
B2_cv,24,0.48,0.3,0.0,898.6
B2_cv,25,0.5,0.26399999999999996,0.08049844718999243,895.2
B2_cv,26,0.52,0.3,0.0,895.8
B2_cv,27,0.54,0.26399999999999996,0.08049844718999244,899.0
B2_cv,28,0.56,0.27999999999999997,0.04472135954999577,898.4
B2_cv,29,0.58,0.3,0.0,887.2
B2_cv,30,0.6,0.3,0.0,880.8
B2_cv,31,0.62,0.3,0.0,879.6
B2_cv,32,0.64,0.26,0.0547722557505166,878.4
B2_cv,33,0.66,0.3,0.0,876.6
B2_cv,34,0.68,0.27999999999999997,0.04472135954999577,877.2
B2_cv,35,0.7000000000000001,0.3,0.0,877.4
B2_cv,36,0.72,0.20400000000000001,0.06387487769068524,873.8
B2_cv,37,0.74,0.3,0.0,868.6
B2_cv,38,0.76,0.26,0.0547722557505166,867.2
B2_cv,39,0.78,0.20800000000000002,0.09011104260855048,868.6
B2_cv,40,0.8,0.3,0.0,869.0
B2_cv,41,0.8200000000000001,0.27999999999999997,0.04472135954999577,863.0
B2_cv,42,0.84,0.3,0.0,863.6
B2_cv,43,0.86,0.26399999999999996,0.08049844718999244,859.2
B2_cv,44,0.88,0.244,0.0817312669668102,857.0
B2_cv,45,0.9,0.244,0.0817312669668102,852.2
B2_cv,46,0.92,0.3,0.0,856.0
B2_cv,47,0.9400000000000001,0.27999999999999997,0.04472135954999577,855.8
B2_cv,48,0.96,0.3,0.0,857.6
B2_cv,49,0.98,0.26399999999999996,0.08049844718999244,858.6
B2_fixed,1,0.02,0.3,0.0,963.6
B2_fixed,2,0.04,0.3,0.0,977.2
B2_fixed,3,0.06,0.3,0.0,972.8
B2_fixed,4,0.08,0.3,0.0,949.6
B2_fixed,5,0.1,0.3,0.0,948.0
B2_fixed,6,0.12,0.3,0.0,939.6
B2_fixed,7,0.14,0.3,0.0,950.4
B2_fixed,8,0.16,0.3,0.0,938.4
B2_fixed,9,0.18,0.3,0.0,932.8
B2_fixed,10,0.2,0.3,0.0,936.0
B2_fixed,11,0.22,0.3,0.0,928.6
B2_fixed,12,0.24,0.3,0.0,929.2
B2_fixed,13,0.26,0.3,0.0,918.2
B2_fixed,14,0.28,0.3,0.0,918.0
B2_fixed,15,0.3,0.3,0.0,914.4
B2_fixed,16,0.32,0.3,0.0,907.0
B2_fixed,17,0.34,0.3,0.0,903.8
B2_fixed,18,0.36,0.3,0.0,897.2
B2_fixed,19,0.38,0.3,0.0,894.4
B2_fixed,20,0.4,0.3,0.0,903.8
B2_fixed,21,0.42,0.3,0.0,898.2
B2_fixed,22,0.44,0.3,0.0,899.6
B2_fixed,23,0.46,0.3,0.0,893.0
B2_fixed,24,0.48,0.3,0.0,898.6
B2_fixed,25,0.5,0.3,0.0,895.2
B2_fixed,26,0.52,0.3,0.0,895.8
B2_fixed,27,0.54,0.3,0.0,899.0
B2_fixed,28,0.56,0.3,0.0,898.4
B2_fixed,29,0.58,0.3,0.0,887.2
B2_fixed,30,0.6,0.3,0.0,880.8
B2_fixed,31,0.62,0.3,0.0,879.6
B2_fixed,32,0.64,0.3,0.0,878.4
B2_fixed,33,0.66,0.3,0.0,876.6
B2_fixed,34,0.68,0.3,0.0,877.2
B2_fixed,35,0.7000000000000001,0.3,0.0,877.4
B2_fixed,36,0.72,0.3,0.0,873.8
B2_fixed,37,0.74,0.3,0.0,868.6
B2_fixed,38,0.76,0.3,0.0,867.2
B2_fixed,39,0.78,0.3,0.0,868.6
B2_fixed,40,0.8,0.3,0.0,869.0
B2_fixed,41,0.8200000000000001,0.3,0.0,863.0
B2_fixed,42,0.84,0.3,0.0,863.6
B2_fixed,43,0.86,0.3,0.0,859.2
B2_fixed,44,0.88,0.3,0.0,857.0
B2_fixed,45,0.9,0.3,0.0,852.2
B2_fixed,46,0.92,0.3,0.0,856.0
B2_fixed,47,0.9400000000000001,0.3,0.0,855.8
B2_fixed,48,0.96,0.3,0.0,857.6
B2_fixed,49,0.98,0.3,0.0,858.6
